,Data set,Task,Year published,Local/Cloud,Country,Location,Carbon intensity [g CO₂eq/kWh],Main energy source,Source,Number of GPUs,GPU model,Number of TPUs,TPU model,TDP,TDP Source,Training time [s],Energy consumed [kWh],CO₂eq emitted [kg],Top-5 accuracy,Top-1 accuracy,Hardware burden,BLEU score,F1 score
0,Imagenet,Image Classification,2020.0,local,United States of America,Michigan,506.1,Coal,Carbon Footprint 2020,16.0,GeForce RTX 2080 Ti,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,950400.0,1056.0,534.4,93.11578945414006,76.6146146067623,,,
1,Imagenet,Image Classification,2020.0,cloud,United States of America,California,191.43,Gas,Carbon Footprint 2020,8.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,81360.0,45.2,8.7,,79.96100017576727,,,
2,Imagenet,Image Classification,2012.0,local,Canada,Toronto,52.89,Nuclear,ElectricityMap,2.0,GeForce GTX 580,,,244.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-580.c270,475000.0,64.38888889,3.4,84.7588894034044,63.24920037959601,1502045000.0,,
3,Imagenet,Image Classification,2020.0,cloud,United States of America,East,420.5,Gas,Google,64.0,Tesla V100 PCIe 32 GB,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,190800.0,848.0,356.6,95.53829649254511,80.75730635183498,,,
4,Imagenet,Image Classification,2016.0,local,United States of America,Oregon,142.5,Hydro,Carbon Footprint 2020,8.0,Tesla M40,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-m40.c2771,864000.0,480.0,68.4,95.57407781197631,80.87983432597143,47305730000.0,,
5,Imagenet,Image Classification,2018.0,cloud,United States of America,Google,401.06,Coal,eGRID,100.0,Tesla P100 PCIe 16 GB,,,250.0,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,69120.0,480.0,192.5,96.16539993243035,82.9455449296062,,,
6,Imagenet,Image Classification,2018.0,local,China,Shanghai,555.0,Coal,Climate Transparency (2019 Report) ,1.0,?,,,250.0,Median TDP,720000.0,50.0,27.8,91.99108305015746,74.5872649903251,,,
7,WMT2014 English-French,Machine Translation,2018.0,local,United States of America,Pennsylvania,357.81,Gas,Carbon Footprint,2.0,GeForce RTX 2070,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",432000.0,51.6,18.5,,,,42.103074133105196,
8,WMT2014 English-German,Machine Translation,2018.0,local,United States of America,Pennsylvania,357.81,Gas,Carbon Footprint,2.0,GeForce RTX 2070,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",432000.0,51.6,18.5,,,,29.619072245513053,
9,WMT2014 English-French,Machine Translation,2019.0,cloud,United States of America,Georgia Google,415.0,Gas,Patterson et al.,8.0,Tesla P100 PCIe 16 GB,,,250.0,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,276480.0,153.6,14.3,,,,40.57629560759459,
10,WMT2014 English-German,Machine Translation,2019.0,cloud,United States of America,Georgia - Google,415.0,Gas,Patterson et al.,,,16.0,Cloud TPU v2,280.0,Patterson et al.,864000.0,1075.2,446.2,,,2488320100000.0,28.3738741645427,
11,WMT2014 English-French,Machine Translation,2019.0,local,Spain,Barcelona,220.26,Oil,Association of Issuing Bodies (AIB),8.0,Nvidia V100,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,259200.0,144.0,31.7,,,,43.335700198710825,
12,WMT2014 English-German,Machine Translation,2019.0,local,Spain,Barcelona,220.26,Oil,Association of Issuing Bodies (AIB),8.0,Nvidia V100,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,86400.0,48.0,10.6,,,,29.69379915496467,
13,MS COCO,Object Detection,2019.0,cloud,United States of America,Virginia,336.95,Nuclear,Carbon Footprint 2020,1.0,GeForce RTX 2070,,,215.0,"https://www.anandtech.com/show/14586/geforce-rtx-2070-super-rtx-2060-super-review#:~:text=The%20TDP%20of%20the%20card,than%20the%20RTX%202070%20vanilla.",97200.0,5.805,2.0,,,,,
14,WMT2014 English-French,Machine Translation,2019.0,cloud,China,Taiwan Google,545.0,Coal,Patterson et al.,,,512.0,Cloud TPU v3,300.0,Patterson et al.,1728000.0,82575.36,45003.6,,,,43.41560849264083,
15,WMT2014 English-German,Machine Translation,2019.0,cloud,China,Taiwan Google,545.0,Coal,Patterson et al.,,,512.0,Cloud TPU v3,300.0,Patterson et al.,1728000.0,82575.36,46700.0,,,,32.09683161098069,
16,Imagenet,Image Classification,2020.0,cloud,China,Shanghai,555.0,Coal,Climate Transparency (2019 Report) ,1.0,Nvidia V100,,,250.0,https://www.techpowerup.com/gpu-specs/tesla-v100-pcie-32-gb.c3184,526507.0,36.56298516,20.3,,84.38098715253375,,,
17,Imagenet,Image Classification,2020.0,local,United States of America,Michigan,506.1,Coal,Carbon Footprint 2020,8.0,GeForce RTX 2080 Ti,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,604800.0,336.0,170.0,95.25204423238395,80.46213794545272,,,
18,Imagenet,Image Classification,2020.0,local,United Kingdom,London,233.14,Gas,UK Govt – Defra/BEIS,8.0,GeForce RTX 2080 Ti,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-rtx-2080-ti.c3305,21600.0,12.0,2.8,93.5955188741636,77.10930396893018,,,
19,Imagenet,Image Classification,2020.0,local,United States of America,Pennsylvania,357.81,Gas,Carbon Footprint,8.0,Titan XP GPUs,,,250.0,https://www.techpowerup.com/gpu-specs/geforce-gtx-titan-x.c2632,864000.0,480.0,171.7,,80.63865688470823,,,
20,Conll 2003,Named Entity Recognition,2021.0,cloud,China,Hangzhou,555.0,Coal,Climate Transparency (2019 Report) ,1.0,Tesla P100 PCIe 16 GB,,,250.0,https://askgeek.io/en/gpus/NVIDIA/Tesla-P100-PCIe-16-GB,162000.0,11.25,6.2,,,,,93.58180986595156
